lokalbahn, lokalban
schreckt, ʃrekt
hervorgehoben, heəfoəɡehobən
fessellosen, feselosən
grünt, krynt
bists, bists
geburten, ɡebuətən
berührungspunkt, beryruŋspuŋkt
rubriziert, rupritsiət
damm, dam
segenhaus, tseɡənhaus
gliederbaues, klideəbaues
feingeformten, faiŋefoəmtən
eingehauen, aiŋehauən
zusehen, tsusehən
remissio, remisio
wohlstimmig, volstimik
peripherie, periferiə
newtonischen, nevtoniʃən
zurückgleitend, tsurykklaietənt
brechend, prexənt
gebührt, ɡebyət
gebogenen, ɡeboɡenən
landhaus, lantaus
geb, ɡep
abwarfen, apvaəfən
physische, fysiʃə
instrumentiert, instruməntieət
gestatteten, ɡestatetən
stufenfolge, stufənfolɡə
metaphysisches, metafysiʃes
wandelbar, vandelbaə
erfolgen, eəfolɡən
mißlich, mislix
anpacken, anpakən
attila, atila
liebesdrang, libestraŋk
schwanz, ʃvants
beredteste, beretestə
quasten, kvastən
halleluja, haleluja
entfärbten, əntfeəptən
schwindsucht, ʃvintsuxt
trunknen, truŋknən
directly, direktly
verwüster, feəvystə
bart, baət
versucher, feəsuxə
herumgezogen, herumɡetsoɡən
seidenwurm, tsaiedənvuəm
krabbeln, krapbeln
formt, foəmt
zugunsten, tsuɡunstən
lagst, laɡst
complicirt, komplikiət
malven, malfən
zurücklag, tsuryklak
sensualsystem, tsənsualsystem
zurechnenden, tsurexnəndən
lungert, luŋeət
entgegengesetzten, əntɡeɡənɡesetstən
windeshauch, vindeshaux
inhaltes, inhaltes
erreichbar, eəraixbaə
verhielten, feəhiltən
ducke, dukə
ausgefüllt, ausɡefylt
angstschweiss, aŋst͡ʃvais
kämmerlein, kemeəlain
fühlte, fyltə
frevelnder, frefelndə
ermächtigungen, eəmextieɡuŋən
gipsabguss, ɡipsapɡus
tragbaren, trakbarən
seltsamsten, tseltsamstən
rückfall, rykfal
dithyrambus, dityrambus
gedunsen, ɡedunsən
finstere, finstərə
parkettplatz, paəketplats
hiernächst, hiənekst
bedrängliches, betreŋklixes
anpaßte, anpastə
ahasver, aasfə
rührseligen, ryəseliɡən
empfohlen, empfolən
voraussetzte, forausetstə
dünnwandigen, dynvandiɡən
münzregal, myntsreɡal
ungeahnte, uŋeantə
allweisheit, alvaishait
hanswurst, hansvuəst
venus, fenus
helle, helə
schmucks, ʃmuks
ans, ans
pries, pris
dionysische, dionysiʃə
soupers, tsoupeəs
genugtat, ɡenuktat
spezialgebiet, spetsialɡebit
umstricken, umstrikən
wattebrauen, vateprauən
sechsfach, tseksfax
gehaltvollste, ɡehaltfolstə
harmonie, haəmoniə
herbst, heəbst
anklagten, aŋklaktən
entgegenstreckt, əntɡeɡənstrekt
zerzaust, tseətsaust
fürstin, fyəstin
bejahen, bejahən
tiefsinniger, tiefsiniçə
alleinigen, alaiəniçən
offiziersspeiseanstalt, ofitsiəspaieseanstalt
herabrollen, heraprolən
unermessliche, uneəmeslixə
tauben, tauhbən
hoffe, hofə
rufend, rufənt
märtyrers, meətyreəs
janitschek, janit͡ʃek
umzudrehen, umtsutrehən
taufakt, tauhfakt
junkers, juŋkeəs
trugen, truɡən
aufblühender, aufplyhəndə
einzusammeln, aintsusameln
belade, beladə
dyspeptisch, dyspeptiʃ
händeln, hendeln
denen, denən
anschickte, anʃiktə
kugelförmige, kuɡelføəmiçə
heilet, haielet
pragmatische, prakmatiʃə
konviktes, konfiktes
aeschyleischen, aeʃylaieʃən
spuren, spurən
inniger, iniçə
grimmiger, krimiçə
buß, bus
lachenden, laxəndən
talgebiet, talɡebit
klügere, klyɡərə
graues, kraues
geborenen, ɡeborenən
entbrennend, əntprənnənt
niemals, nimals
dichtgewebtem, dixtɡeveptem
verführende, feəfyrəndə
hart, haət
lehrerverein, lereəferain
zuckungen, tsukuŋən
nutzt, nutst
hauptmannsfrau, hauptmansfrauh
hexen, heksən
schaar, ʃaə
triften, triftən
obligationenwesen, opliɡatsionənvesən
geschnürten, ɡeʃnyətən
vorübergehend, forybeəɡehənt
steuerwesen, stoyeəvesən
demjenigen, demjeniɡən
ermüdend, eəmydənt
streu, stroyh
dünkten, dyŋktən
bin, bin
junker, juŋkə
atrophie, atrofiə
räthselhafte, retselhaftə
schweifende, ʃvaiefəndə
unfähig, unfeik
beschwerliche, beʃveəlixə
prärogativen, preroɡatiefən
absteigender, abstaieɡəndə
nutzanwendungen, nutsanvənduŋən
vergißt, feəɡist
deckplatten, dekplatən
verbildung, feəbilduŋk
droschke, troʃkə
durchstreifte, duəkstraiftə
anzueignen, antsuaiknən
längst, leŋst
erscheinung, eəʃaiənuŋk
gründet, kryndet
grabe, krabə
allzutoll, altsutol
einbüssen, ainbysən
auszustellen, austsustelən
ebener, ebənə
trauen, trauən
genügend, ɡenyɡənt
verhöhnt, feəhønt
verständlichkeit, feəstentlixkait
herangekommen, heraŋekomən
einsegnungen, ainseknuŋən
wohlthut, voltut
himmelsbewegungen, himelsbeveɡuŋən
dégoutiert, déɡoutieət
feige, faiɡə
hintersinn, hinteəsin
gestohlnen, ɡestolnən
pachter, paxtə
häßliches, heslixes
zusammenfaßt, tsusamənfast
entgegenstehende, əntɡeɡənstehəndə
wandverzierungen, vantfeətsiruŋən
pratomagnos, pratomaknos
freifräulein, fraifroyhlain
versen, feəsən
standesamtliche, standesamtlixə
hässlichen, heslixən
affectionen, afektsionən
kraftsteigerung, kraftstaieɡeruŋk
befitticht, befitixt
wohlerhaltenden, voleəhaltəndən
aschermittwoch, aʃeəmitvox
fördern, føədeən
intellectuellen, intelektuelən
erschüttere, eəʃytərə
jänner, jenə
berühmte, berymtə
anfasste, anfastə
bedingterweise, bediŋkteəvaisə
abgetretenen, apɡetretənən
kunstmässig, kunstmesik
visionär, fisioneə
zusammennahm, tsusamənnam
abwarte, apvaətə
voransetzen, foransetsən
wünschet, vynʃet
werfen, veəfən
kronen, kronən
delphos, delfos
flüssen, flysən
zusammenfließen, tsusamənflisən
begleitend, beklaietənt
bewahren, bevarən
stach, stax
verkündest, feəkyndest
töricht, tørixt
merkbar, meəkbaə
widersinniger, videəsiniçə
gras, kras
lebenswandels, lebənsvandels
höchste, høkstə
auftrage, auftraɡə
morganatische, moəɡanatiʃə
schlechtweggekommenen, ʃlextvekɡekomenən
dreiundzwanzigster, traiundtsvantsiçstə
kiefernwaldes, kifeənvaldes
reiseglas, raieseklas
engelfeier, ənɡelfaiə
individuellen, indifiduelən
vorgestreckt, foəɡestrekt
tönten, tøntən
penserosa, pənserosa
leidenschaftliche, laiedənʃaftlixə
grabesschoß, krabesxos
persephoneien, peəsefonaiən
widerspruchsvolles, videəspruksfoles
ausstreckte, austrektə
paradeaufstellung, paradeaufsteluŋk
nächten, nextən
krankenhausgraus, kraŋkənhauskraus
durchtoben, duəxtobən
blühend, plyhənt
ränkevollen, reŋkefolən
nacken, nakən
kapellchen, kapelxən
zusammengezogenen, tsusamənɡetsoɡenən
handbüchern, hantbyxeən
fragst, fraɡst
vermerkt, feəmeəkt
hochverzinslichen, hoxfeətsinslixən
hauptmacht, hauptmaxt
klopfte, klopftə
kolossaler, kolosalə
weiterlebt, vaieteəlebt
probandi, probandi
wiedersah, videəsa
hofften, hoftən
weich, vaix
schneebrei, ʃnepraie
unendlicher, unəntlixə
seile, tsailə
kundgegeben, kuntɡeɡebən
hinterlassend, hinteəlasənt
schnörkeln, ʃnøəkeln
überdrüssigen, ybeətrysiɡən
vorzusehn, foətsusen
bretterstufen, preteəstufən
ponthieu, pontiu
eben, ebən
anmutiges, anmutieɡes
bindende, bindəndə
schmerzliches, ʃmeətslixes
reichthums, raixtums
gegenrechnung, ɡeɡənrexnuŋk
pilze, piltsə
brüstend, prystənt
undurchdringlich, unduəxtriŋklix
reiseapotheke, raieseapotekə
herabzulassen, heraptsulasən
lebensfroh, lebənsfro
raphegi, rafeɡi
ungemessenen, uŋemesenən
incest, inkest
zärtliche, tseətlixə
obre, oprə
lebensgenuß, lebənsɡenus
tragisch, traɡiʃ
bemerkter, bemeəktə
lebensfaden, lebənsfadən
gefahr, ɡefaə
angespannten, aŋespantən
knäu, knoyh
mißlingt, misliŋt
treten, tretən
darlehen, daəlehən
kollegheft, kolekheft
echot, exot
lehrbegriffe, leəbekrifə
arbeit, aəbait
strafbar, strafbaə
eigentume, aieɡəntumə
selbstentäußerung, tselbstəntoyseruŋk
schweigst, ʃvaiɡst
platte, platə
virginia, fiəɡinia
kontrapunktierte, kontrapuŋktieətə
verdienstes, feədinstes
hinaus, hinaus
langen, laŋən
unschickliche, unʃiklixə
aufbrächen, aufprexən
eigenes, aieɡenes
stehkragen, stekraɡən
blinder, plində
wahrhaftiger, vaəhaftiɡə
loge, loɡə
störungen, støruŋən
lavinia, lafinia
verderbt, feədeəbt
faltenkleid, faltənklait
property, propeəty
to, to
psychologe, psyxoloɡə
beschädigen, beʃediɡən
geschichtet, ɡeʃixtet
zentauren, tsəntauhrən
erinnert, ərineət
geistlichen, ɡaistlixən
amphiaraus, amfiaraus
anschaun, anʃaun
diomeds, diomeds
liebefähig, libefeik
bleibst, plaibst
quantitatem, kvantietatem
gehörigen, ɡehøriɡən
orkus, oəkus
zweideutiges, tsvaiedoyhtieɡes
zersprungenen, tseəspruŋenən
plane, planə
scotto, skoto
erträumten, eətroymtən
henkel, hənkel
gebärdenden, ɡebeədəndən
kaltblütigen, kaltplytieɡən
erobert, ərobeət
ergiebiges, eəɡibiɡes
wühlt, vylt
tiefverruchten, tieffeəruxtən
verliefen, feəlifən
brückenwacht, prykənvaxt
einzustreichen, aintsustraiexən
wirtshaus, viətshaus
mutwilligem, mutviliɡem
straßenmäßig, strasənmesik
wagte, vaktə
überfällt, ybeəfelt
schiffenden, ʃifəndən
schutt, ʃut
empörten, empøətən
mittelsperson, mitelspeəson
klungen, kluŋən
teilvorstellungen, tailfoəsteluŋən
bescheidet, beʃaiedet
berufene, berufənə
haltbare, haltbarə
voreilend, foraielənt
niederbückend, nideəbykənt
besitzmasse, besitsmasə
ankunft, aŋkunft
abtrocknen, abtroknən
leidenschaftlicher, laiedənʃaftlixə
weihnachtsabend, vaihnaxtsabənt
neunzehn, noyntsen
pfiffig, pfifik
zumutete, tsumutetə
geringsten, ɡeriŋstən
köpft, køpft
zuraunen, tsurauhnən
lieblingsvorstellung, lipliŋsfoəsteluŋk
niederkam, nideəkam
hafenein, hafenain
bürgerlichem, byəɡeəlixem
privatleben, prifatlebən
azurnen, atsuənən
ekelt, ekelt
kindern, kindeən
goldborten, ɡoltboətən
plätschernd, plet͡ʃeənt
riesenkampfe, risənkampfə
oreas, oreas
unleiblicher, unlaiplixə
streitkraft, straitkraft
hauses, hauhses
entgegenentwickelt, əntɡeɡənəntvikelt
hochschätze, hoksxetsə
proofread, profreat
gewissheit, ɡevishait
fortlief, foətlif
nächst, nekst
anspannung, anspanuŋk
limonade, limonadə
ohoho, ooho
fürstlichkeiten, fyəstlixkaietən
rosenstocks, rosənstoks
anthropologische, antropoloɡiʃə
stavenüter, stafenytə
saals, tsals
sitzenbleiben, tsitsənplaiebən
komödiantischen, komødiantieʃən
schmilzt, ʃmiltst
prüfen, pryfən
erwarben, eəvaəbən
leichenbegängnis, laiexənbeɡeŋknis
geeinte, ɡeintə
wegwerfen, vekveəfən
aufzuges, auftsuɡes
polisanderholz, polisandeəholts
herr, heər
verkünden, feəkyndən
reines, raiənes
schnellste, ʃnelstə
begin, beɡin
scharen, ʃarən
hirtenreigen, hiətənraieɡən
weitläufigkeit, vaitloyhfikkait
lamon, lamon
schmucklos, ʃmuklos
mauergründen, maueəkryndən
wiederströmen, videəstrømən
miß, mis
fieber, fibə
reizend, raietsənt
dochtes, doxtes
tolle, tolə
staucht, stauxt
entweichen, əntvaiexən
verhaltens, feəhaltəns
ausflügler, ausflyklə
mischung, miʃuŋk
körperloses, køəpeəloses
hochrot, hoxrot
himmelskörper, himelskøəpə
schleppen, ʃlepən
zahm, tsam
kehlkopf, kelkopf
weltregierers, veltreɡireəs
getragene, ɡetraɡənə
unterscheidung, unteəʃaieduŋk
pedal, pedal
schußbereit, ʃusberait
altmodischen, altmodiʃən
scheun, ʃoyn
scherz, ʃeəts
goethesche, ɡoeteʃə
überzeugungswärme, ybeətsoyhɡuŋsveəmə
photographieen, fotokrafiən
erwart, eəvaət
method, metot
beigefallen, baieɡefalən
frisiert, frisiət
ausübend, auhsybənt
traute, trautə
strassenleben, strasənlebən
serviert, tseəfiət
puls, puls
bezirks, betsiəks
blöde, plødə
rechtwinkligen, rextviŋkliɡən
widerwille, videəvilə
beharrenden, behaərəndən
erschlage, eəʃlaɡə
jauche, jauxə
erlauben, eəlauhbən
ziegelfarbenen, tsiɡelfaəbenən
traumscene, traumskənə
mitschülern, mit͡ʃyleən
posen, posən
restringierende, restriŋirəndə
glücksgüter, klyksɡytə
aufsuchen, aufsuxən
gelegenheiten, ɡeleɡənhaietən
darzustellen, daətsustelən
bestehenden, bestehəndən
schlimmeres, ʃlimeres
erfahrenen, eəfarenən
kräuseln, kroyhseln
klapptür, klaptyə
epizyklus, epitsyklus
aufgeben, aufɡebən
beschnittenen, beʃnitenən
staatsfinanzen, statsfinantsən
gefasste, ɡefastə
abgerufen, apɡerufən
falte, faltə
blute, plutə
grillig, krilik
verneinte, feənaintə
wiederkommt, videəkomt
unglücksahndung, uŋklyksanduŋk
unbescholten, unbeʃoltən
überlegenheit, ybeəleɡənhait
zins, tsins
gewinne, ɡevinə
tüllgardine, tylɡaədinə
schnarchenden, ʃnaəxəndən
natürliches, natyəlixes
notierte, notieətə
particular, paətiekulaə
achills, axils
nähere, neərə
nachricht, naxrixt
seitenwand, tsaietənvant
manieren, manirən
tapferm, tapfeəm
sinkender, tsiŋkəndə
reziprokabilität, retsiprokabilitet
widerrede, videəredə
adieu, adiu
mattgesungen, matɡesuŋən
davonzustreben, dafontsustrebən
absprach, absprax
scherzgeschrei, ʃeətsɡeʃraie
mißtrau, mistrauh
leibnizens, laipnitsəns
geheftet, ɡeheftet
kamt, kamt
trozig, trotsik
festsetzen, festsetsən
vermutlichen, feəmutlixən
mündigzusprechen, myndiktsusprexən
superfötation, tsupeəføtatsion
unvergleichliches, unfeəklaixlixes
schmeichelte, ʃmaiexeltə
herabhing, herafiŋk
realschüler, realʃylə
sammetkleid, tsametklait
unzufrieden, untsufridən
anzuschaffen, antsuʃafən
kreiseltänze, kraieseltentsə
kristallpokale, kristalpokalə
probieren, probirən
zusammengegeben, tsusamənɡeɡebən
vermerkte, feəmeəktə
mächtigsten, mextiɡstən
eidesurkunde, aiedesuəkundə
nächtlich, nextlix
nachteilige, naxtaieliçə
abgemalt, apɡemalt
ausgleich, ausklaix
transszendentalen, transtsəndəntalən
agnat, aknat
täuschungen, toyhʃuŋən
senkrecht, tsənkrext
erziehen, eətsiən
fehlschlug, felʃluk
sprünge, spryŋə
iedweder, itvedə
arnostrand, aənostrant
übermächtigen, ybeəmextieɡən
sichregen, tsixreɡən
schwärzlich, ʃveətslix
bewundern, bevundeən
gestrichenen, ɡestrixenən
pause, pausə
zeremonienkleid, tseremoniŋklait
artist, aətist
schwarzbleiche, ʃvaətsplaixə
genügen, ɡenyɡən
pädagoge, pedaɡoɡə
dictionis, diktsionis
präsidenten, presidəntən
winselnden, vinselndən
schweinefratzen, ʃvaiənefratsən
schnurrbart, ʃnuərbaət
abhängige, afeŋiçə
gesegnete, ɡeseknetə
fixen, fiksən
leichten, laixtən
lasterleben, lasteəlebən
niederhingen, nideəhiŋən
rind, rint
verweilendem, feəvaieləndem
phantasiebildern, fantasibildeən
tröpfen, trøpfən
gebrauchsfähig, ɡeprauksfeik
hinfallen, hinfalən
beitritt, baitrit
zusammenstellen, tsusamənstelən
aufgeworfener, aufɡevoəfənə
eingebungen, aiŋebuŋən
beschauenden, beʃauəndən
samttaburetts, tsamtaburets
anwenden, anvəndən
lichtgottheit, lixtɡothait
mitgeteiltes, mitɡetailtes
übt, ybt
viertels, fiətels
etikette, etieketə
verwandtschaftsgrad, feəvantʃaftskrat
efforts, efoəts
menander, menandə
puccio, pukkio
bestechen, bestexən
aufgezehrt, aufɡetseət
apathie, apatiə
halbnarren, halpnaərən
schließenkönnen, ʃlisənkønən
page, paɡə
unschädlich, unʃetlix
sechstes, tsekstes
weicher, vaixə
zur, tsuə
örtlichen, øətlixən
nötigung, nøtieɡuŋk
epische, epiʃə
geschäftsträgers, ɡeʃeftstreɡeəs
vorbestimmt, foəbestimt
verhelfen, feəhelfən
tänzen, tentsən
wortsturzes, voətstuətses
magnus, maknus
billigend, biliɡənt
komtessen, komtesən
spektakel, spektakel
wuchern, vuxeən
vernichtet, feənixtet
bett, bet
elternpaar, elteənpaə
deutschland, doyt͡ʃlant
plumpen, plumpən
erwünschtesten, eəvynʃtestən
zusammengebaut, tsusamənɡebaut
messungen, mesuŋən
gewöhnlicher, ɡevønlixə
grausem, krauhsem
kreischender, kraieʃəndə
grunzt, kruntst
wohlgesinnten, volɡesintən
nehme, nemə
vernehmlich, feənemlix
lai, laie
natürliche, natyəlixə
zinnen, tsinən
abgehn, apɡen
winterraps, vinteəraps
angewurzelt, aŋevuətselt
druckfehler, trukfelə
romantische, romantiʃə
umhergeschweift, umheəɡeʃvaift
noumena, noumena
paragraphenabteilung, parakrafenaptaieluŋk
würde, vyədə
klapperwerk, klapeəveək
schiffsuhr, ʃifsuə
verwirrter, feəviərtə
fürchterlich, fyəxteəlix
streithändel, straitendel
organizations, oəɡanitsatsions
mythenschaffenden, mytənʃafəndən
aufgehobenen, aufɡehobenən
offiziersfrau, ofitsiəsfrauh
geschieht, ɡeʃit
bewunderungswürdig, bevunderuŋsvyədik
kosmotheologie, kosmoteoloɡiə
innersten, ineəstən
amerika, amerika
samuel, tsamuel
angestimmt, aŋestimt
krachte, kraxtə
leibe, laibə
wellenberge, velənbeəɡə
überwundne, ybeəvuntnə
reichgeschmückte, raixɡeʃmyktə
darstellende, daəsteləndə
annonce, anonkə
unabhängigkeit, unafeŋikkait
platz, plats
esaus, esaus
friedrichstr, fritrikstr
rahab, rahap
begriffes, bekrifes
abspringen, abspriŋən
heimsuchen, haimsuxən
eingebetteten, aiŋebetetən
erkenntnisquellen, eəkənntniskvelən
camicion, kamikion
niedergehn, nideəɡen
hu, hu
abnehme, apnemə
enger, ənɡə
achritekten, axritektən
mahl, mal
schlei, ʃlaie
paritätischen, paritetieʃən
antriebe, antribə
labetrunk, labetruŋk
schatzgewölbe, ʃatsɡevølbə
hochgespannt, hoxɡespant
email, email
hießen, hisən
ungenügend, uŋenyɡənt
knarrend, knaərənt
castrocaro, kastrokaro
jähe, jeə
schusterjunge, ʃusteəjuŋə
bibliotheken, bipliotekən
volksgunst, folksɡunst
forschende, foəʃəndə
zusammenlebens, tsusamənlebəns
morgenstern, moəɡənsteən
einziger, aintsiçə
weißliche, vaislixə
ergetzung, eəɡetsuŋk
abgeschmackt, apɡeʃmakt
jüdin, jydin
grauem, krauem
rechne, rexnə
erzittert, eətsiteət
wetterbuben, veteəbubən
entlaufen, əntlauhfən
verschiedne, feəʃitnə
jahrelang, jarelaŋk
vorfände, foəfendə
unwillen, unvilən
verstandeshandlung, feəstandeshantluŋk
ersehn, eəsen
räth, ret
einzuweihen, aintsuvaieən
grünlichem, krynlixem
spiritus, spiritus
perl, peəl
trillion, trilion
hüllen, hylən
zuletzt, tsuletst
sinnreicher, tsinraixə
zerrbildern, tseərbildeən
widersinnische, videəsiniʃə
gewobenen, ɡevobenən
freigewordenen, fraieɡevoədenən
ordnendes, oətnəndes
staatsregierung, statsreɡiruŋk
schickte, ʃiktə
herausschreiten, herausxraietən
tausenden, tauhsəndən
ausscheidung, ausxaieduŋk
parat, parat
zernagt, tseənaɡt
große, krosə
höllenschlund, hølənʃlunt
öffentlichen, øfəntlixən
zugerechnet, tsuɡerexnet
unabhängig, unafeŋik
gesetzlosigkeit, ɡesetslosikkait
petroleumtrust, petroloymtrust
vermittels, feəmitels
vorgeben, foəɡebən
erfährst, eəfeəst
menschenfreundlichen, mənʃənfroyntlixən
hauste, haustə
rezitierte, retsitieətə
überstürzte, ybeəstyətstə
geschmack, ɡeʃmak
gelingts, ɡeliŋts
beschwerlichsten, beʃveəlikstən
symbolisirung, symbolisiruŋk
pfeilbewaffnet, pfailbevafnet
altdeutsche, altdoyt͡ʃə
kur, kuə
wandelbare, vandelbarə
sarge, tsaəɡə
begegn, beɡeɡn
französisch, frantsøsiʃ
schwesterlich, ʃvesteəlix
verkrochen, feəkroxən
kostspieliger, kostspiliçə
denkst, dənkst
geschlossenem, ɡeʃlosenem
verherrlicht, feəheərlixt
lebensformen, lebənsfoəmən
teilet, taielet
pulswärmer, pulsveəmə
dühring, dyriŋk
ärzte, eətstə
contract, kontrakt
bekenn, bekənn
damage, damaɡə
herzliche, heətslixə
völkchen, følkxən
dogma, dokma
geziert, ɡetsiət
unregelmäßigen, unreɡelmesiɡən
erforsche, eəfoəʃə
philemon, filemon
sensual, tsənsual
licht, lixt
federhaltung, fedeəhaltuŋk
vermocht, feəmoxt
sämtlicher, tsemtlixə
ähnlichste, enlikstə
ranntest, rantest
andächtigen, andextieɡən
falbe, falbə
salutgeschützen, tsalutɡeʃytsən
apparate, aparatə
sprüchwort, spryxvoət
gebraucht, ɡeprauxt
optimist, optiemist
tapete, tapetə
dekorative, dekoratifə
wegzuschieben, vektsuʃibən
denkers, dənkeəs
festsetzt, festsetst
väterlicher, feteəlixə
erhaltenden, eəhaltəndən
totenschlafe, totənʃlafə
überlegene, ybeəleɡənə
winkten, viŋktən
geführte, ɡefyətə
häuslein, hoyslain
subsumierenden, tsupsumirəndən
weifen, vaiefən
schmeichelbild, ʃmaiexelbilt
abzog, aptsok
herzkammer, heətskamə
gestaltetes, ɡestaltetes
evidenten, efidəntən
kadix, kadiks
rängen, reŋən
felsenwegen, felsənveɡən
augenfältchen, auhɡənfeltxən
herumführte, herumfyətə
gestirn, ɡestiən
mystiker, mystikə
zusammentrifft, tsusaməntrift
ichs, iks
fester, festə
begeisterte, beɡaisteətə
instaurationem, instauhratsionem
einsilbigen, ainsilbiɡən
verfolger, feəfolɡə
zusagen, tsusaɡən
römischen, rømiʃən
gratulierte, kratuliətə
aufnahm, aufnam
chargierten, xaəɡiətən
übereinstimmung, yberainstimuŋk
steinfliesen, stainflisən
putten, putən
acri, akri
gütchen, ɡytxən
hochschätzten, hoksxetstən
eroberten, ərobeətən
bauwerke, bauhveəkə
vorteil, foətail
zivilstehkragen, tsifilstekraɡən
hartnäckigkeit, haətnekikkait
erkannter, eəkantə
rückenzug, rykəntsuk
débats, débats
hinaufgequält, hinaufɡekvelt
stiftet, stiftet
beziehen, betsiən
anheimgebenden, anhaimɡebəndən
nichtachtung, nixtaxtuŋk
neunzehnjährigen, noyntsenjeriɡən
maltersäcke, malteəsekə
verdunkelten, feəduŋkeltən
einpfropfen, ainpfropfən
existenzform, eksistəntsfoəm
markt, maəkt
welterscheinungen, velteəʃaiənuŋən
gesteuert, ɡestoyeət
gemieden, ɡemidən
wohlfeile, volfailə
zischt, tsiʃt
entgegenstand, əntɡeɡənstant
fanges, faŋes
ungrund, uŋkrunt
rachsüchtigen, raksyxtieɡən
läufer, loyfə
knobelsdorffs, knobelsdoəfs
lüste, lystə
aufdrängte, auftreŋktə
inwendig, invəndik
obwaltenden, opvaltəndən
befremdung, befremduŋk
vernimm, feənim
zusamt, tsusamt
förmlichen, føəmlixən
wiederkäuern, videəkoyeən
gedrungener, ɡetruŋənə
schwellend, ʃvelənt
galerien, ɡalerin
rathlos, ratlos
virtù, fiətù
januar, januaə
intellektueller, intelektuelə
munteres, munteres
zueignung, tsuaiknuŋk
erziehern, eətsieən
einschmeichelnd, ainʃmaiexelnt
darböte, daəbøtə
vorgeblichen, foəɡeplixən
gummieinsatz, ɡumiinsats
tiefstand, tiefstant
getanen, ɡetanən
thessalische, tesaliʃə
wunderliches, vundeəlixes
teilen, taielən
unterweise, unteəvaisə
innerlich, ineəlix
barbierte, baəbiətə
hohnsprechenden, honsprexəndən
been, ben
empfahn, empfan
kistennägeln, kistənneɡeln
müßte, mystə
vollzähligkeit, foltselikkait
astrologen, astroloɡən
lauschend, lauhʃənt
gefolges, ɡefolɡes
verarmung, feraəmuŋk
einzuschätzen, aintsuʃetsən
vermehren, feəmerən
einschneidende, ainʃnaiedəndə
verbundene, feəbundənə
schweift, ʃvaift
gegründet, ɡekryndet
gewinnst, ɡevinst
verwichen, feəvixən
erwählter, eəveltə
dunklere, duŋklərə
universitätsstraße, unifeəsitetstrasə
treusten, troystən
verneinen, feənaiənən
einstimmt, ainstimt
verbleibe, feəplaibə
substanzen, tsubstantsən
überfahrt, ybeəfaət
böhmen, bømən
persönlich, peəsønlix
geruch, ɡerux
niederzulassen, nideətsulasən
kunstsinn, kunstsin
schöpferischem, ʃøpferiʃem
often, oftən
staatsmännern, statsmeneən
phantasielos, fantasilos
ilios, ilios
vorsintflutlichen, foəsintflutlixən
daüber, daübə
chiusi, xiusi
schwebe, ʃvebə
sichwiederfinden, tsixvideəfindən
stillliegen, stilliɡən
tatsachen, tatsaxən
klassenzimmer, klasəntsimə
verleumden, feəloymdən
kopfweh, kopfve
hinfort, hinfoət
blitzes, plitses
vollmilch, folmilx
abermal, abeəmal
blutsverwandte, plutsfeəvantə
volksgewicht, folksɡevixt
three, treə
heilkraft, hailkraft
ferien, ferin
versteck, feəstek
eingreifen, aiŋkraiefən
überein, yberain
faches, faxes
dünnbeinige, dynbaiəniçə
erriet, eərit
unbekümmertsten, unbekymeətstən
versehrte, feəseətə
auslöst, ausløst
verurteilt, feruətailt
strahlenartig, stralenaətik
befreite, befraitə
turmspitze, tuəmspitsə
festgesetzt, festɡesetst
verbirgt, feəbiəɡt
botschaft, bot͡ʃaft
stiess, sties
selbstischer, tselbstiʃə
blutleere, plutlerə
philologe, filoloɡə
unbestochenen, unbestoxenən
spielwerke, spilveəkə
verschmelzen, feəʃmeltsən
grässlich, kreslix
hermes, heəmes
gleichgewichte, klaixɡevixtə
abnehmen, apnemən
vereinigte, feraiəniktə
wohlseins, volsains
wohlfeil, volfail
erziehe, eətsiə
eisenbahnen, aiesənbanən
zusammengeordnet, tsusamənɡeoətnet
abzuhangen, aptsuhaŋən
gerafften, ɡeraftən
liebeband, libebant
jenseit, jənsait
gefolg, ɡefolk
abzufertigende, aptsufeətieɡəndə
erdbeschreibung, eətbeʃraiebuŋk
dekoration, dekoratsion
hingemordet, hiŋemoədet
süssigkeit, tsysikkait
zugleichsein, tsuklaiksain
füßchen, fysxən
cum, kum
vollmond, folmont
sprengen, sprənɡən
amputation, amputatsion
leeres, leres
nahen, nahən
weltinbegriffs, veltinbekrifs
ablernen, apleənən
haushalten, haushaltən
niedere, nidərə
eingeschränkt, aiŋeʃreŋkt
auszufinden, austsufindən
historische, historiʃə
glasfenster, klasfənstə
brand, prant
anheimgegeben, anhaimɡeɡebən
verfällt, feəfelt
hinschwindet, hinʃvindet
einstmalige, ainstmaliçə
genugtuender, ɡenuktuəndə
erbauten, eəbauhtən
grünliches, krynlixes
bebänderter, bebendeətə
dogmatismus, dokmatismus
verhängnissvollen, feəheŋknisfolən
schaulust, ʃauhlust
verderben, feədeəbən
beschienene, beʃinənə
getrübten, ɡetryptən
falschen, falʃən
leisten, laistən
gezeigt, ɡetsaiɡt
eleusis, eloyhsis
leitest, laietest
unveränderlichen, unferendeəlixən
stillestande, stilestandə
wahn, van
entragte, əntraktə
fracks, fraks
hauptfehl, hauptfel
ungestalt, uŋestalt
ausgestreckte, ausɡestrektə
anmeldung, anmelduŋk
lyrisch, lyriʃ
zuwendungen, tsuvənduŋən
einundzwanzigsten, aiənundtsvantsiçstən
rohem, rohem
umhergeschickt, umheəɡeʃikt
aussteigen, austaieɡən
